Dzień,Liczba zwierząt,Liczba roślin,Liczba wolnych pól,Najpopularniejszy genotyp,Średni poziom energii żyjących zwierząt,Średnia długość życia zwierząt
122,489,125,1795,brak genomu,55,76
123,485,118,1794,brak genomu,55,76
124,494,123,1791,brak genomu,55,76
125,490,125,1782,brak genomu,54,76
126,503,130,1791,brak genomu,54,76
127,501,128,1771,brak genomu,52,76
128,496,129,1770,brak genomu,53,76
129,494,127,1782,brak genomu,53,78
130,494,127,1784,brak genomu,53,78
131,495,125,1780,brak genomu,52,78
132,508,129,1775,brak genomu,52,77
133,504,131,1765,brak genomu,51,76
134,504,127,1762,brak genomu,51,76
135,512,124,1780,brak genomu,51,76
136,515,126,1771,brak genomu,50,77
137,520,122,1778,brak genomu,49,77
138,516,120,1778,brak genomu,50,77
139,521,125,1752,brak genomu,49,78
140,515,126,1754,brak genomu,48,78
141,512,119,1775,brak genomu,48,78
142,511,116,1769,brak genomu,48,78
143,517,114,1784,brak genomu,49,79
144,506,117,1778,brak genomu,48,78
145,509,117,1773,brak genomu,49,78
146,512,118,1777,brak genomu,48,78
147,517,118,1767,brak genomu,47,78
148,517,116,1778,brak genomu,47,78
149,523,112,1786,brak genomu,49,78
150,522,112,1769,brak genomu,47,78
151,522,117,1762,brak genomu,46,78
152,515,116,1762,brak genomu,45,78
153,519,112,1768,brak genomu,45,78
154,516,112,1782,brak genomu,45,79
155,512,112,1767,brak genomu,45,79
156,517,113,1770,brak genomu,45,79
157,506,121,1769,brak genomu,45,78
158,503,118,1777,brak genomu,45,79
159,502,123,1772,brak genomu,45,80
160,495,122,1773,brak genomu,45,80
161,504,124,1776,brak genomu,46,80
162,501,127,1774,brak genomu,45,79
163,489,123,1771,brak genomu,45,79
164,490,121,1772,brak genomu,45,79
165,487,112,1796,brak genomu,46,80
166,493,108,1785,brak genomu,46,80
167,483,107,1802,brak genomu,46,81
168,488,109,1793,brak genomu,46,81
169,478,107,1806,brak genomu,46,82
170,481,104,1797,brak genomu,46,82
171,482,100,1816,brak genomu,46,82
172,475,104,1814,brak genomu,46,83
173,480,106,1814,brak genomu,47,83
174,473,109,1808,brak genomu,46,83
175,473,114,1799,brak genomu,46,83
176,465,117,1792,brak genomu,46,84
177,486,114,1801,brak genomu,46,84
178,469,110,1809,brak genomu,45,84
179,465,112,1818,brak genomu,45,84
180,459,113,1815,brak genomu,46,85
181,454,113,1810,brak genomu,46,87
182,451,117,1809,brak genomu,46,87
183,454,121,1815,brak genomu,46,87
184,458,118,1819,brak genomu,46,87
185,456,115,1835,brak genomu,46,87
186,459,119,1828,brak genomu,47,88
187,446,121,1810,brak genomu,46,88
188,462,120,1818,brak genomu,46,88
189,445,123,1807,brak genomu,45,88
190,449,127,1813,brak genomu,46,88
191,440,124,1814,brak genomu,46,89
192,436,120,1803,brak genomu,47,88
193,453,124,1824,brak genomu,46,88
194,436,132,1805,brak genomu,45,89
195,446,129,1821,brak genomu,46,88
196,438,127,1816,brak genomu,46,88
197,437,126,1816,brak genomu,46,88
198,440,128,1815,brak genomu,46,89
199,438,129,1804,brak genomu,46,89
200,435,126,1817,brak genomu,46,89
201,439,125,1817,brak genomu,46,89
202,431,132,1803,brak genomu,45,89
203,432,132,1810,brak genomu,46,89
204,438,130,1830,brak genomu,46,89
205,434,128,1823,brak genomu,46,89
206,433,130,1820,brak genomu,46,90
207,426,131,1800,brak genomu,46,91
208,439,126,1814,brak genomu,46,91
209,424,122,1832,brak genomu,46,91
210,427,130,1823,brak genomu,46,92
211,427,128,1825,brak genomu,47,92
212,423,129,1809,brak genomu,46,92
213,424,125,1835,brak genomu,46,92
214,415,123,1833,brak genomu,47,92
215,416,126,1831,brak genomu,47,92
216,414,127,1828,brak genomu,47,93
217,408,130,1821,brak genomu,47,93
218,413,125,1835,brak genomu,47,93
219,416,126,1828,brak genomu,47,93
220,416,124,1828,brak genomu,47,94
221,414,122,1831,brak g
